unique_work_number,work_name,work_description,work_category,state,implementing_district,nodal_district,constituency,house_name,mp_name,implementing_agency_name,sanction_amount,actual_expenditure,released_amount,recommendation_date,administrative_approval_date,sanction_date,commencement_date,completion_date,work_status,financial_year,image_uploaded
MPLADS/KA/2024-2025/0149,Construction of Street Light in Mysore,Accusantium omnis soluta explicabo aliquid quos nobis. Minima quibusdam at ullam autem sunt cum.,Street Light,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Yatin Roy,Zila Parishad,604388.31,231127.03,347928.3373009759,2024-03-15,2024-04-10,2024-04-13,2024-06-08,,Delayed,2024-2025,No
MPLADS/UT/2024-2025/0150,Construction of Library in Kanpur,Amet ipsum nihil labore. Sunt deleniti voluptatibus beatae praesentium aut voluptates.,Library,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Gaurav Panchal,Zila Parishad,2007889.27,366192.07,1167900.8975501964,2023-12-19,2024-01-02,2024-01-05,2024-02-12,,Ongoing,2024-2025,No
MPLADS/KA/2024-2025/0151,Construction of Park in Hubli,Laborum harum magnam velit. Sunt quam deleniti.,Park,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Bina Balay,Municipal Corporation,900197.14,70775.89,649798.9772505852,2024-04-07,2024-05-08,2024-05-13,2024-07-08,,Ongoing,2024-2025,No
MPLADS/MA/2026-2027/0152,Construction of Street Light in Indore,Ab doloremque inventore dolores. Enim at soluta accusamus commodi.,Street Light,Madhya Pradesh,Indore,Indore,Indore East,Rajya Sabha,Onveer Naik,Block Development Office,569289.64,119962.32,347746.1607052703,2026-04-07,2026-07-11,2026-07-16,2026-08-24,,Delayed,2026-2027,No
MPLADS/MA/2024-2025/0153,Construction of Drinking Water in Pune,Ducimus inventore vel fugit neque distinctio. Asperiores nisi enim quidem.,Drinking Water,Maharashtra,Pune,Pune,Pune East,Rajya Sabha,Anya Manne,State Housing Board,659987.64,835030.34,848652.2489428814,2024-09-21,2024-10-17,2024-10-22,2024-11-01,2026-04-10,Completed,2024-2025,Yes
MPLADS/KA/2025-2026/0154,Construction of Library in Bangalore,Laborum minus exercitationem labore similique cupiditate. Quisquam unde quibusdam.,Library,Karnataka,Bangalore,Bangalore,Bangalore East,Lok Sabha,Ridhi Raj,Gram Panchayat,1962577.59,330937.51,1169184.718644452,2025-02-28,2025-06-18,2025-06-22,2025-08-19,,Ongoing,2025-2026,No
MPLADS/UT/2025-2026/0155,Construction of Park in Lucknow,A nobis suscipit vitae. At voluptatem deserunt mollitia fugiat repudiandae reiciendis.,Park,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Ojas Lad,Zila Parishad,917228.99,767066.4,821126.9485267533,2025-09-10,2025-10-05,2025-10-07,2025-10-29,2026-04-27,Completed,2025-2026,Yes
MPLADS/KA/2025-2026/0156,Construction of Street Light in Hubli,Itaque dolores aut aliquid praesentium. Consequuntur porro laboriosam minus nobis.,Street Light,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Kiaan Chokshi,Gram Panchayat,357129.72,110327.12,181116.04375112843,2025-02-07,2025-02-16,2025-02-21,2025-03-23,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0157,Construction of Library in Indore,Iste recusandae sunt ratione.,Library,Madhya Pradesh,Indore,Indore,Indore East,Rajya Sabha,Urvi Raja,Gram Panchayat,3106042.16,4060922.69,4450441.40167822,2025-01-19,2025-02-10,2025-02-13,2025-03-25,2025-08-26,Completed,2025-2026,Yes
MPLADS/MA/2026-2027/0158,Construction of Street Light in Thane,Autem inventore explicabo. Aliquid debitis accusantium.,Street Light,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Vaishnavi Mital,State Housing Board,594766.58,144586.41,299889.3307990351,2026-02-04,2026-03-06,2026-03-11,2026-04-26,,Ongoing,2026-2027,No
MPLADS/UT/2026-2027/0159,Construction of Park in Varanasi,Illo ea ad dolore accusantium officiis. Accusantium at a totam veritatis harum tempore quidem.,Park,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Vihaan Karnik,State Housing Board,323478.6,104300.14,205871.59525713147,2026-07-25,2026-12-10,2026-12-11,2027-01-02,,Ongoing,2026-2027,No
MPLADS/KA/2025-2026/0160,Construction of Health Center in Hubli,Maxime earum ratione magnam nulla consequuntur facilis. Aliquid mollitia velit culpa.,Health Center,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Gopal Arya,Gram Panchayat,2656553.61,1797182.04,1918842.2067131905,2025-09-15,2025-10-23,2025-10-24,2025-12-18,,Ongoing,2025-2026,No
MPLADS/KA/2026-2027/0161,Construction of Park in Hubli,Distinctio consequuntur repudiandae. Necessitatibus omnis necessitatibus animi.,Park,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,William Bahri,Municipal Corporation,410127.33,84901.62,349434.11164928507,2026-04-06,2026-04-27,2026-04-30,2026-06-13,,Ongoing,2026-2027,No
MPLADS/MA/2025-2026/0162,Construction of Health Center in Indore,Illum eos minus ullam commodi ipsum.,Health Center,Madhya Pradesh,Indore,Indore,Indore East,Rajya Sabha,Noah Trivedi,Zila Parishad,2787084.6,766783.44,2464443.089117242,2025-08-24,2025-09-17,2025-09-20,2025-11-18,,Ongoing,2025-2026,No
MPLADS/TA/2025-2026/0163,Construction of Drainage in Coimbatore,Praesentium earum ratione sint dicta. Tempore modi omnis suscipit.,Drainage,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Rajya Sabha,Aarush Sani,State Housing Board,1895157.35,1690199.52,2232198.3033813033,2025-04-23,2025-05-06,2025-05-11,2025-07-03,,Ongoing,2025-2026,No
MPLADS/TA/2026-2027/0164,Construction of Drinking Water in Chennai,Placeat aliquam perferendis sit expedita. Atque assumenda quo iusto vero sint blanditiis.,Drinking Water,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Damini Patel,PWD,2319110.867904244,971909.07,1331208.387891825,2026-01-08,2026-01-26,2026-01-29,2026-03-27,,Ongoing,2026-2027,No
MPLADS/MA/2026-2027/0165,Construction of Drinking Water in Jabalpur,"Dicta ut numquam. Debitis est porro.
Sed laboriosam deleniti a velit cum.",Drinking Water,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Lok Sabha,Harish Bhargava,Gram Panchayat,1481688.06,1183583.75,1301260.55299563,2026-01-14,2026-02-14,2026-02-16,2026-03-01,2026-10-09,Completed,2026-2027,Yes
MPLADS/KA/2024-2025/0166,Construction of School Building in Bangalore,Ipsam odit id neque facilis a a. Amet magnam rerum. Sit dolores tenetur eos ipsam error incidunt.,School Building,Karnataka,Bangalore,Bangalore,Bangalore East,Lok Sabha,Oeshi Kale,Municipal Corporation,12035658.865724022,5875619.66,6481089.339504531,2024-04-23,2024-05-12,2024-05-16,2024-06-25,2025-03-05,Completed,2024-2025,Yes
MPLADS/MA/2024-2025/0167,Construction of Health Center in Thane,Amet quam quo sint adipisci. Ex molestias id. Quia consequatur consequuntur cumque.,Health Center,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Nachiket Badami,State Housing Board,2822060.16,1445927.4,1477324.264983865,2024-09-17,2024-10-22,2024-10-24,2024-11-29,2025-03-18,Completed,2024-2025,Yes
MPLADS/UT/2026-2027/0168,Construction of Drinking Water in Varanasi,Molestias temporibus unde autem quaerat. Aperiam expedita saepe recusandae tempora.,Drinking Water,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Zilmil Krishnamurthy,PWD,1948396.49,167275.21,1310811.0379545463,2026-01-01,2026-01-19,2026-01-20,2026-02-20,,Ongoing,2026-2027,No
MPLADS/UT/2025-2026/0169,Construction of Street Light in Varanasi,Dolores perferendis optio ab. Cupiditate rerum nostrum itaque asperiores.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Veer Ratta,PWD,450922.38,360487.9,624671.6821863537,2025-03-31,2025-04-16,2025-04-20,2025-06-10,,Ongoing,2025-2026,No
MPLADS/TA/2025-2026/0170,Construction of Health Center in Madurai,Modi aut quia provident voluptatibus voluptatibus quo. Nihil sequi et rem a molestiae.,Health Center,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Sai Wable,State Housing Board,1246263.84,351814.13,694737.6763789128,2025-05-19,2025-06-22,2025-06-26,2025-08-07,,Ongoing,2025-2026,No
MPLADS/UT/2026-2027/0171,Construction of Street Light in Lucknow,Minima possimus dicta quis quasi sunt accusantium. Excepturi modi assumenda nulla.,Street Light,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Yug Lala,Municipal Corporation,322097.11,209505.6,229103.06577696383,2026-04-15,2026-04-23,2026-04-25,2026-06-02,2027-04-04,Completed,2026-2027,Yes
MPLADS/TA/2025-2026/0172,Construction of Health Center in Madurai,Eligendi modi doloribus dicta. Aspernatur laborum optio enim.,Health Center,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Faras Sachar,PWD,1184189.72,753184.88,1049684.705947612,2025-02-06,2025-02-26,2025-03-02,2025-04-24,,Ongoing,2025-2026,No
MPLADS/MA/2026-2027/0173,Construction of Drinking Water in Thane,Vero quo aliquid maxime error aspernatur nesciunt labore. Eius quod ut qui.,Drinking Water,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Qabil Kalla,Municipal Corporation,961449.15,345300.04,897396.6385721907,2026-03-06,2026-03-19,2026-03-23,2026-04-11,,Ongoing,2026-2027,No
MPLADS/KA/2024-2025/0174,Construction of Library in Hubli,Placeat corporis nobis.,Library,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Ranveer Walla,Gram Panchayat,2038806.38,902485.12,1693358.7334340482,2024-02-15,2024-03-19,2024-03-21,2024-05-18,,Ongoing,2024-2025,No
MPLADS/MA/2023-2024/0175,Construction of Library in Indore,Excepturi sed cumque. Illum fuga iure dicta.,Library,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Gaurang Padmanabhan,PWD,1993683.56,200992.12,2284912.315576094,2023-09-24,2023-11-01,2023-11-02,2023-12-17,,Delayed,2023-2024,No
MPLADS/UT/2023-2024/0176,Construction of Library in Kanpur,Numquam facere porro in facilis neque.,Library,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Bina Jaggi,State Housing Board,2379028.27,2103789.27,2137371.344236567,2023-10-23,2023-11-04,2023-11-08,2023-11-23,2024-06-09,Completed,2023-2024,Yes
MPLADS/MA/2025-2026/0177,Construction of Street Light in Thane,Laborum quibusdam ad repudiandae minima iusto vitae pariatur. Velit odit fugiat veritatis eaque.,Street Light,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Mason Mohan,Zila Parishad,502600.38,145833.1,439348.4143494165,2024-12-10,2025-03-01,2025-03-02,2025-04-28,,Ongoing,2025-2026,No
MPLADS/TA/2025-2026/0178,Construction of Community Hall in Madurai,Ipsum non nesciunt. Eligendi quae iusto est esse maxime.,Community Hall,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Yashawini Sankaran,PWD,4244240.89,607576.7,2833275.330852375,2025-06-06,2025-07-11,2025-07-15,2025-07-27,,Ongoing,2025-2026,No
MPLADS/KA/2024-2025/0179,Construction of Park in Mysore,Consectetur nostrum aspernatur perferendis eius. Culpa nam rem corrupti ex.,Park,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Aadi Khurana,Block Development Office,694137.27,403096.01,406305.27335659234,2023-12-03,2024-04-10,2024-04-15,2024-05-03,2026-02-19,Completed,2024-2025,Yes
MPLADS/UT/2026-2027/0180,Construction of Roads in Lucknow,Laborum eius perspiciatis nisi consequatur quidem. Libero voluptates illo ducimus.,Roads,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Rajya Sabha,Rajeshri Rau,Block Development Office,3676135.33,844721.94,2150891.981250411,2026-04-17,2026-05-14,2026-05-18,2026-07-01,,Ongoing,2026-2027,No
MPLADS/TA/2024-2025/0181,Construction of Drinking Water in Chennai,Praesentium vel ut vero autem. Ipsum non consequuntur qui accusamus labore optio.,Drinking Water,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Farhan Narula,State Housing Board,1312833.67,1018254.64,1048397.4468799657,2024-07-20,2024-08-19,2024-08-23,2024-10-11,2025-07-15,Completed,2024-2025,Yes
MPLADS/MA/2025-2026/0182,Construction of Roads in Nagpur,Rem harum ratione fugit neque sed rerum quidem.,Roads,Maharashtra,Nagpur,Nagpur,Nagpur East,Lok Sabha,Thomas Karpe,PWD,814273.95,622913.56,669367.7468930111,2025-03-04,2025-03-21,2025-03-26,2025-04-18,2027-01-12,Completed,2025-2026,Yes
MPLADS/MA/2025-2026/0183,Construction of Drainage in Indore,Tempore dolorem doloremque deleniti. Reiciendis illum quae commodi distinctio nihil dolore.,Drainage,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Veda Taneja,Municipal Corporation,557464.5,128253.58,318169.63081936777,2024-12-02,2024-12-29,2025-01-02,2025-01-31,,Ongoing,2025-2026,No
MPLADS/KA/2026-2027/0184,Construction of Street Light in Hubli,Corporis amet reprehenderit. Repellat illum laudantium occaecati laboriosam.,Street Light,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Xavier Golla,State Housing Board,1799398.517184252,1089383.61,1172071.1374017284,2026-03-16,2026-04-11,2026-04-16,2026-05-16,2027-11-29,Completed,2026-2027,Yes
MPLADS/UT/2026-2027/0185,Construction of School Building in Kanpur,Nesciunt voluptatum quasi minus. Laudantium maxime labore est dolorem.,School Building,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Samuel Tella,PWD,2664805.82,829738.37,2104249.205078492,2025-12-15,2026-01-07,2026-01-11,2026-02-25,,Ongoing,2026-2027,No
MPLADS/UT/2025-2026/0186,Construction of Community Hall in Kanpur,Tempore illum ducimus.,Community Hall,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Lok Sabha,Wishi Sandal,Zila Parishad,3356800.59,1659334.88,2760241.441353117,2025-03-30,2025-04-09,2025-04-11,2025-04-24,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0187,Construction of Library in Pune,Deserunt quod nihil vitae quia. Placeat accusamus explicabo animi. Enim quae perspiciatis.,Library,Maharashtra,Pune,Pune,Pune East,Lok Sabha,Oliver Tella,Municipal Corporation,2131266.34,1034041.56,2902009.855776414,2025-02-27,2025-04-02,2025-04-05,2025-04-15,,Ongoing,2025-2026,No
MPLADS/KA/2026-2027/0188,Construction of Health Center in Bangalore,Dolorem ad adipisci.,Health Center,Karnataka,Bangalore,Bangalore,Bangalore East,Rajya Sabha,Sathvik Sharaf,Municipal Corporation,1927171.09,1103170.77,1442828.4080337745,2026-05-01,2026-05-25,2026-05-28,2026-07-01,,Ongoing,2026-2027,No
MPLADS/TA/2023-2024/0189,Construction of Library in Coimbatore,Voluptates sit eum saepe. Alias numquam nesciunt accusantium voluptatibus.,Library,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Lok Sabha,Dhruv Din,Block Development Office,1207244.4,888968.86,917359.428243769,2023-10-26,2023-11-04,2023-11-08,2024-01-05,2024-10-07,Completed,2023-2024,Yes
MPLADS/UT/2025-2026/0190,Construction of School Building in Varanasi,Dolorum adipisci libero aliquid id. Magnam eligendi a tenetur ipsam.,School Building,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Yahvi Chand,Gram Panchayat,2423314.33903225,1107993.04,1237000.0167500959,2025-07-09,2025-08-03,2025-08-06,2025-08-25,,Ongoing,2025-2026,No
MPLADS/KA/2025-2026/0191,Construction of Drainage in Hubli,Dicta facilis assumenda. Corrupti placeat magni rem unde optio recusandae.,Drainage,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Harish Nazareth,Block Development Office,932091.03,347230.02,863966.0846108089,2025-02-27,2025-04-04,2025-04-08,2025-05-17,,Ongoing,2025-2026,No
MPLADS/UT/2026-2027/0192,Construction of Library in Varanasi,Unde est eum numquam aliquid nihil nemo. Blanditiis occaecati cupiditate.,Library,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Pooja Ratti,Gram Panchayat,2399479.16,1324546.45,1391544.9282080345,2026-02-07,2026-03-04,2026-03-09,2026-03-21,2026-07-06,Completed,2026-2027,Yes
MPLADS/UT/2024-2025/0193,Construction of School Building in Lucknow,Aliquid ratione veniam laboriosam officiis. Praesentium sequi tenetur natus blanditiis minus totam.,School Building,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Xalak Handa,Zila Parishad,10822266.763695756,6734711.19,7315823.900763558,2024-04-21,2024-04-27,2024-05-02,2024-06-11,2026-03-15,Completed,2024-2025,Yes
MPLADS/TA/2024-2025/0194,Construction of Drinking Water in Madurai,Optio sed vero. Earum sed non corrupti vero voluptates. Totam repellat quasi dolorum totam odit ab.,Drinking Water,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Ansh Sangha,State Housing Board,1402826.2431237514,636300.23,1001128.3665594219,2024-06-26,2024-07-17,2024-07-19,2024-08-04,,Delayed,2024-2025,No
MPLADS/UT/2026-2027/0195,Construction of Library in Varanasi,Aliquam iste mollitia velit. Soluta veritatis iste aspernatur dolorum voluptatum excepturi placeat.,Library,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Nathaniel Sathe,Zila Parishad,1921226.65,802312.44,1747617.1988188413,2026-02-03,2026-02-20,2026-02-21,2026-03-26,,Delayed,2026-2027,No
MPLADS/UT/2026-2027/0196,Construction of Community Hall in Kanpur,Deleniti quaerat tenetur illo. Nam atque ea ab.,Community Hall,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Lok Sabha,Upasna Pall,State Housing Board,2962380.86,645908.12,1813304.9268044385,2026-06-26,2026-10-01,2026-10-05,2026-11-08,,Ongoing,2026-2027,No
MPLADS/UT/2024-2025/0197,Construction of Street Light in Lucknow,Et non inventore culpa. Sint laboriosam facilis sint quidem voluptatum.,Street Light,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Rajya Sabha,Meera Mitra,State Housing Board,323228.51,128789.37,299167.1575361134,2024-01-27,2024-03-01,2024-03-02,2024-04-14,,Delayed,2024-2025,No
MPLADS/TA/2025-2026/0198,Construction of Community Hall in Chennai,"Eveniet minima quos magnam cumque animi. Placeat iste libero impedit.
Quia assumenda quo.",Community Hall,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Abeer Swaminathan,Zila Parishad,2684470.13,822762.97,2544588.758239984,2025-05-22,2025-06-28,2025-06-29,2025-07-20,,Delayed,2025-2026,No
MPLADS/MA/2024-2025/0199,Construction of Park in Bhopal,Corporis provident voluptatibus accusamus beatae.,Park,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Ekbal Madan,Zila Parishad,823283.49,509928.56,538959.2204167905,2024-08-03,2024-08-13,2024-08-18,2024-09-21,2025-04-13,Completed,2024-2025,Yes
MPLADS/MA/2025-2026/0200,Construction of Drainage in Thane,Nemo deleniti odio amet. Accusamus et nobis et in iusto beatae.,Drainage,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Anika Bhargava,Block Development Office,514217.82,284287.43,313175.1711470311,2025-09-30,2025-10-14,2025-10-17,2025-12-04,2026-09-26,Completed,2025-2026,No
MPLADS/TA/2026-2027/0201,Construction of Street Light in Coimbatore,Asperiores enim nostrum impedit ullam.,Street Light,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Rajya Sabha,Yashasvi Sant,Gram Panchayat,571557.47,246195.15,356059.45291565906,2026-09-03,2026-10-11,2026-10-13,2026-12-05,,Ongoing,2026-2027,No
MPLADS/UT/2025-2026/0202,Construction of Community Hall in Varanasi,Quam harum esse.,Community Hall,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Rohan Panchal,Municipal Corporation,3172941.43,1314993.47,2745166.487057799,2025-12-01,2025-12-21,2025-12-23,2026-02-18,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0203,Construction of Street Light in Nagpur,A veniam neque dolores deleniti ut quaerat. Doloremque doloribus voluptatum.,Street Light,Maharashtra,Nagpur,Nagpur,Nagpur East,Rajya Sabha,Oni Tella,Zila Parishad,716610.25,177839.52,607387.6421568192,2025-11-11,2025-11-22,2025-11-24,2025-12-31,,Ongoing,2025-2026,No
MPLADS/MA/2023-2024/0204,Construction of Community Hall in Pune,Modi nulla fugiat a consequatur at praesentium placeat. Laboriosam vero corrupti nulla.,Community Hall,Maharashtra,Pune,Pune,Pune East,Lok Sabha,Caleb Sane,PWD,3764562.46,603847.47,2453374.725562558,2023-10-17,2023-11-12,2023-11-15,2023-12-19,,Ongoing,2023-2024,No
MPLADS/MA/2024-2025/0205,Construction of Library in Bhopal,Nihil porro magnam ipsam. Eveniet eveniet eveniet quia. Tempora dolorum at voluptas quibusdam.,Library,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Rajya Sabha,Ojasvi Pai,Block Development Office,835631.44,339876.96,1090499.0628392084,2024-08-28,2024-09-09,2024-09-12,2024-10-09,,Ongoing,2024-2025,No
MPLADS/TA/2024-2025/0206,Construction of Drinking Water in Coimbatore,Quo ut totam nihil.,Drinking Water,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Lok Sabha,Imaran Ramakrishnan,PWD,531087.48,348991.03,361650.80170010624,2024-07-29,2024-08-17,2024-08-19,2024-10-14,2025-04-28,Completed,2024-2025,Yes
MPLADS/KA/2026-2027/0207,Construction of Park in Mysore,Quam laboriosam facere beatae voluptate eum. Modi nam harum. Neque amet ipsa maxime asperiores.,Park,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Jagvi Lad,Zila Parishad,1006014.11,225560.96,903860.4421091176,2025-12-09,2025-12-28,2026-01-02,2026-01-20,,Ongoing,2026-2027,No
MPLADS/KA/2026-2027/0208,Construction of School Building in Mysore,Autem deserunt fuga tempore. Veritatis velit corporis nisi.,School Building,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Faris Shah,Zila Parishad,3770678.93,2307749.65,2312832.907339128,2026-05-25,2026-06-09,2026-06-13,2026-07-29,2026-12-13,Completed,2026-2027,Yes
MPLADS/MA/2024-2025/0209,Construction of Library in Bhopal,Harum qui a magni. Quidem modi veniam nulla. Inventore officia voluptas totam beatae.,Library,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Hardik Pradhan,Gram Panchayat,2160533.38,138124.75,1406069.3943068194,2024-04-06,2024-04-12,2024-04-16,2024-06-10,,Ongoing,2024-2025,No
MPLADS/KA/2024-2025/0210,Construction of Street Light in Hubli,Ab velit mollitia officia quo. Saepe iste aut illum. Repudiandae unde quia quidem adipisci.,Street Light,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Urishilla Seshadri,Zila Parishad,1270546.3,438922.4,770431.7646066012,2024-10-09,2024-10-24,2024-10-26,2024-12-20,,Ongoing,2024-2025,No
MPLADS/MA/2026-2027/0211,Construction of Park in Indore,Est consequuntur aliquid ratione nam. Ipsa commodi aut quos voluptatem. Tempore neque autem.,Park,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Mekhala Solanki,State Housing Board,1028356.2,1401952.02,1511029.225518611,2026-02-26,2026-03-18,2026-03-21,2026-05-14,2026-11-13,Completed,2026-2027,Yes
MPLADS/TA/2025-2026/0212,Construction of Residential Complex near Roads in Chennai,Reprehenderit est praesentium. Accusantium nisi ullam.,Roads,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Ishaan Choudhary,State Housing Board,2408452.51,386523.96,2062360.0448779939,2025-03-29,2025-04-26,2025-04-29,2025-06-28,,Ongoing,2025-2026,No
MPLADS/MA/2023-2024/0213,Construction of Library in Jabalpur,Esse harum animi. Et sed voluptatem ea labore tempore.,Library,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Lok Sabha,Fiyaz Warrior,State Housing Board,2467801.23,463001.93,2240725.083227359,2023-11-23,2023-12-18,2023-12-21,2024-01-25,,Ongoing,2023-2024,No
MPLADS/TA/2024-2025/0214,Construction of Street Light in Chennai,Repellat a pariatur a est ut. Quo ipsam eius unde.,Street Light,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Karan Deol,Block Development Office,630278.25,448521.19,495061.58862704114,2024-05-17,2024-06-24,2024-06-25,2024-08-20,,Ongoing,2024-2025,No
MPLADS/UT/2025-2026/0215,Construction of Street Light in Varanasi,Alias quo eos voluptatem ducimus. Perferendis tempora minus qui non voluptate cum.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Eta Shukla,PWD,436946.15,126515.04,318245.816366108,2025-06-30,2025-07-20,2025-07-24,2025-08-23,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0216,Construction of Community Hall in Nagpur,Possimus facere commodi omnis aperiam. Quos consequatur architecto illum ipsam quod earum eos.,Community Hall,Maharashtra,Nagpur,Nagpur,Nagpur East,Rajya Sabha,Jeet Char,Municipal Corporation,3410763.06,1266131.52,2143353.523351616,2025-01-05,2025-02-11,2025-02-13,2025-03-28,,Ongoing,2025-2026,No
MPLADS/KA/2025-2026/0217,Construction of Park in Bangalore,Esse optio tenetur nisi labore. Quos voluptate facere ipsum.,Park,Karnataka,Bangalore,Bangalore,Bangalore East,Rajya Sabha,Ojas Sant,Municipal Corporation,490869.91,278369.83,282493.04001269635,2025-10-06,2025-11-01,2025-11-05,2025-11-16,2026-09-27,Completed,2025-2026,No
MPLADS/UT/2024-2025/0218,Construction of Drinking Water in Lucknow,Alias corrupti vitae optio similique similique corporis. Laudantium dolores dolor aspernatur.,Drinking Water,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Indrajit Wali,PWD,881590.7,384780.92,653910.1656038004,2024-08-26,2024-09-18,2024-09-23,2024-10-14,,Ongoing,2024-2025,No
MPLADS/TA/2025-2026/0219,Construction of Street Light in Madurai,Quo ab exercitationem deserunt culpa ratione suscipit. Libero molestias nobis. Quod beatae est.,Street Light,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Baghyawati Chaudhry,State Housing Board,402927.29,128796.83,236950.29234636182,2025-11-09,2025-11-24,2025-11-29,2026-01-03,,Ongoing,2025-2026,No
MPLADS/MA/2026-2027/0220,Construction of Drinking Water in Bhopal,Ut sapiente vitae commodi. Quam blanditiis quasi velit. Maiores unde odit ipsa.,Drinking Water,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Rajya Sabha,Mekhala Sundaram,Gram Panchayat,1040937.07,300221.01,553836.2517864157,2026-02-25,2026-03-06,2026-03-09,2026-03-26,,Ongoing,2026-2027,No
MPLADS/UT/2025-2026/0221,Construction of Park in Varanasi,Odio veniam quam. Nesciunt repellendus hic velit ex alias asperiores.,Park,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Manya Sagar,Municipal Corporation,1725863.43,1112233.44,1148874.9140472454,2025-08-02,2025-08-28,2025-08-30,2025-10-10,2026-06-03,Completed,2025-2026,Yes
MPLADS/KA/2025-2026/0222,Construction of School Building in Mysore,Dolorem minus error dicta itaque possimus dolor.,School Building,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Faris Barad,Block Development Office,200000.0,86037.83,152050.7616971436,2025-05-25,2025-08-27,2025-08-28,2025-10-08,,Ongoing,2025-2026,No
MPLADS/KA/2024-2025/0223,Construction of Street Light in Hubli,Cum velit quas minus nisi sequi quibusdam mollitia. Nihil culpa quo optio temporibus.,Street Light,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Ronith Patil,Block Development Office,637252.04,559773.16,579566.1477771214,2024-06-14,2024-07-04,2024-07-09,2024-07-20,2024-12-12,Completed,2024-2025,Yes
